Unnamed: 0,DonationAmount,FundAge,FundName,Lat,Location,Lon,NumEmployer,NumGS,NumNews,NumProject,NumSpecialFund,NumVolunteer,OriginalCapital,ProjectIncome,ProjectSpend,Sector,SubsidizeAmount,Province,SectorNum,ProvinceNum
0,314726588.47,3373,爱佑慈善基金会,39.928953,北京市朝阳区,116.447908,39.0,328000,326,17,0.0,221.0,20000000.0,17841000,13151000,儿童，医疗救助,,北京,"6,15",1
1,1205500000.0,8063,北京大学教育基金会,40.002921,北京市海淀区,116.316913,30.0,1470000,145,18,0.0,19.0,20000000.0,7754000,69709528,教育，科学研究,49547930.0,北京,"27,10",1
2,41940000.0,2924,北京交通大学教育基金会,39.956438,北京市海淀区,116.343808,10.0,1410000,149,29,0.0,33.0,20000000.0,65266617,124170192,教育，科学研究,0.0,北京,"27,10",1
3,53261520.0,3693,传媒大学教育基金会,39.918224,北京市朝阳区,116.544931,7.0,944000,22,74,0.0,30.0,20000000.0,20810461,17364138,国际事务，教育，科学研究,5500000.0,北京,"26,27,10",1
4,4100000.0,3147,海仓慈善基金会,39.938745,北京市东城区,116.439148,,749000,26,2,,,50000000.0,0,4024000,安全救灾，扶贫助困，教育,0.0,北京,"24,19,27",1
5,2994549.22,3429,华民慈善基金会,39.918262,北京市东城区,116.431709,15.0,671000,301,8,0.0,25.0,50000000.0,3400000,50208621,安全救灾，创业就业，扶贫助困，老年人,360000.0,北京,"24,25,19,22",1
6,444723394.42,2755,华润慈善基金会,22.547342,广东省深圳市罗湖区,114.117283,1.0,259000,33,53,0.0,140.0,50000000.0,372799000,590490498,安全救灾，扶贫助困，环境，三农,1000000.0,广东,"24,19,17,16",19
7,52500000.0,3805,凯风公益基金会,39.954639,北京市朝阳区,116.461915,5.0,602000,63,24,0.0,0.0,50000000.0,0,29388050,扶贫助困，公益事业发展,0.0,北京,"19,28",1
8,416000.0,3772,李四光地质科学奖基金会,39.933622,北京市西城区,116.342759,0.0,8400,17,15,0.0,0.0,20000000.0,0,8765275,科学研究，文化,0.0,北京,"10,13",1
9,67950000.0,3734,南都公益基金会,39.9252,北京市朝阳区,116.463292,23.0,287000,621,16,0.0,17.0,100000000.0,10530000,4493336,创业就业，公益事业发展，教育,16545156.44,北京,"25,28,27",1
10,40000000.0,3419,人保慈善基金会,40.019112,北京市海淀区,116.319294,3.0,106000,21,20,0.0,8138.0,50000000.0,0,46048813,残疾，环境，教育，三农,0.0,北京,"23,17,27,16",1
11,1801183790.39,8588,清华大学教育基金会,40.000912,北京市海淀区,116.336114,38.0,689000,269,51,1.0,40.0,20000000.0,1906316247,1232052471,教育，科学研究,428236470.0,北京,"27,10",1
12,41050000.0,3302,桃源居公益事业发展基金会,22.619876,广东省深圳市宝安区,113.864848,4.0,11400,66,27,0.0,0.0,100000000.0,41164980,61378780,社区发展,0.0,广东,5,19
13,27380000.0,3889,王振滔慈善基金会,28.068516,浙江省温州市永嘉县,120.69512,3.0,17100,180,19,0.0,565.0,20000000.0,2820784,27941224,扶贫助困，公益事业发展,0.0,浙江,"19,28",11
14,83218869.0,5690,吴阶平医学基金会,39.912303,北京市朝阳区,116.446066,10.0,91100,39,30,0.0,5.0,20000000.0,139031345,96912499,教育，科学研究，卫生保健，医疗救助,0.0,北京,"27,10,11,15",1
15,3820000.0,10197,吴作人国际美术基金会,39.992755,北京市海淀区,116.316475,5.0,81700,42,34,0.0,43.0,3000000.0,2961010,1188582,艺术,1000000.0,北京,14,1
16,118900000.0,4430,香江社会救助基金会,22.942957,广东省广州市番禺区,113.393422,3.0,51600,184,26,0.0,20000.0,20000000.0,6365000,23565962,安全救灾，儿童，教育,0.0,广东,"24,6,27",19
