,Num_comment,Num_follower,Num_following,Num_forward,Num_good,Num_original_post,Num_post,User_id,User_name
0,2,114,14,17,27,78,80,5125808724,北京大学教育基金会
1,21,670,59,48,59,29,44,3216985397,华民慈善基金会
2,1869,36068,1600,6460,693,549,4522,1730320293,南都公益基金会
3,631,3250,153,1395,31,354,813,1734955602,吴作人国际美术基金会
4,19,239,174,58,17,62,158,5167478631,招商局慈善基金会
5,641,1387,124,3772,2232,68,141,5789272632,中国残疾人福利基金会
6,54516,27887,310,1620497,196963,1150,1837,5657423253,中国儿童少年基金会
7,13,112,74,12,0,12,15,1990635117,书海工程
8,119,29849,79,320,5,196,308,1991230575,华夏文化遗产基金会
9,156,1225,112,497,25,110,428,2730066771,中国科大教育基金会
10,0,1149,8,0,0,0,0,3312096513,中国老龄事业发展基金会官微
11,5612,6771,1951,24542,16445,234,697,1730234154,中国绿化基金会
12,125,4612,107,348,183,89,131,5217530247,中国少年儿童文化艺术基金会
13,11697,8402,200,41745,20467,459,1830,3352934964,中国社会福利基金会
14,2661,47901,397,10043,2655,720,991,1958321657,中国宋庆龄基金会
15,12152,28663,500,42311,35214,738,9143,1929429315,中华儿慈会
16,12236,31669,447,36663,12907,1140,3210,1883869845,中华社会救助基金会
17,192,716,234,388,359,328,424,2878969222,中远海运慈善基金会
18,9706,21088,534,873073,11923,1238,4759,2010286582,北京新阳光慈善基金会
19,411,677,494,1304,512,177,635,5309985947,SEE一亿棵梭梭
20,0,38,181,0,1,14,110,5242386079,北京水源保护基金会
21,303,2348,312,831,161,593,2555,2105248117,福建海西青年创业基金会
22,2757,12041,112,5824,8280,1983,7890,1668828437,北京仁爱慈善基金会
23,127,2517,82,230,374,1965,3086,2101558580,光华慈善基金会
24,39,131,84,107,29,184,198,3417175962,福建省妇儿基会
25,0,0,0,0,0,0,0,1005051679279660,
26,118,947,68,203,4,93,105,2056682127,能近公益基金会
27,0,17,13,3,2,6,8,5281377900,上海特殊关爱基金会
28,7,96,49,41,13,27,56,5202737849,北京妇女儿童发展基金会
