,Fund_name,User_id
0,北京大学教育基金会,5125808724
3,华民慈善基金会,3216985397
6,南都公益基金会,1730320293
10,吴作人国际美术基金会,1734955602
21,招商局慈善基金会,5167478631
24,中国残疾人福利基金会,5789272632
26,中国儿童少年基金会,5657423253
30,中国光华科技基金会,1990635117
33,中国华夏文化遗产基金会,1991230575
38,中国科学技术大学教育基金会,2730066771
44,中国老龄事业发展基金会,3312096513
46,中国绿化基金会,1730234154
50,中国少年儿童文化艺术基金会,5217530247
51,中国社会福利基金会,3352934964
52,中国宋庆龄基金会,1958321657
57,中华少年儿童慈善救助基金会,1929429315
58,中华社会救助基金会,1883869845
60,中远海运慈善基金会,2878969222
63,北京新阳光慈善基金会,2010286582
66,北京市企业家环保基金会,5309985947
74,北京水源保护基金会,5242386079
75,福建海西青年创业基金会,2105248117
79,北京市仁爱慈善基金会,1668828437
88,北京光华慈善基金会,2101558580
93,福建省妇女儿童发展基金会,3417175962
102,上海市防癌抗癌事业发展基金会,1005051679279660
103,上海能近公益基金会,2056682127
104,上海特殊关爱基金会,5281377900
106,北京妇女儿童发展基金会,5202737849
107,上海联劝公益基金会,1832740650
108,北京市长江科技扶贫基金会,3784292687
110,北京世纪慈善基金会,1005055743481550
124,天津市鹤童老年公益基金会,2086535315
128,天津市妇女儿童发展基金会,5130995356
152,万科公益基金会,3116716801
166,深圳市青少年发展基金会,2623969447
182,深圳市老龄事业发展基金会,5991755959
184,广东省志愿者事业发展基金会,2492269604
189,陕西妇女儿童发展基金会,2779380834
197,广东省妇女儿童基金会,3517500390
203,重庆浙商爱心基金会,1972433787
206,重庆市妇女儿童基金会,5184927915
218,河南省宋庆龄基金会,1732043030
224,成都市老龄事业发展基金会,1973547807
226,四川电子科技大学教育发展基金会,2055165511
228,云南大益爱心基金会,2662485671
230,云南省绿色环境发展基金会,1764625263
232,贵州省春晖行动发展基金会,3784070072
238,北京康盟慈善基金会,1885454827
245,四川省志愿服务基金会,2482301881
248,深圳市郑卫宁慈善基金会,1707651402
251,广东省茂华慈善基金会,1721179890
252,黄奕聪慈善基金会,2270373022
253,中国绿色碳汇基金会,2647759813
267,北京京华公益事业基金会,2120517563
274,深圳壹基金公益基金会,2614500270
275,北京百度公益基金会,2133144901
280,阿拉善生态基金会,1921356771
282,河南省儿童希望救助基金会,1998802433
293,长安大学教育基金会,2624206052
302,石家庄市志愿服务基金会,3442377620
304,北京爱它动物保护公益基金会,1946798710
306,中南大学教育基金会,5562353036
309,云南君仁博爱基金会,3561572833
311,广东省保利地产和谐文化基金会,2647175183
317,苏州和合文化基金会,2559095565
319,宁夏麦丽燕基金会,5433835622
321,江西师范大学教育发展基金会,5743389698
322,亿利公益基金会,3975557866
330,首都师范大学教育基金会,2091014467
336,浙江千训爱心慈善基金会,5683069481
338,上海仁德基金会,2588411482
358,东风公益基金会,3699191011
362,河北省佛教慈善基金会,2684757403
364,深圳市红树林湿地保护基金会,2839048620
370,宁波诺丁汉大学教育发展基金会,3901547430
375,上海汤臣慈善基金会,3092658847
379,北海天宁慈善基金会,2901944872
386,广东省广雅教育发展基金会,3094289031
388,福建省同心慈善基金会,3220990821
389,上海海事大学教育发展基金会,3423330810
397,山东省友芳公益基金会,3971557133
401,广东省崇善乐慈善基金会,3215443315
405,广西壹方慈善基金会,3260452065
406,北京健康长城公益基金会,5515721780
408,深圳市绿色低碳发展基金会,3331078470
412,福建省正荣公益基金会,3279489762
424,河南省福兴儿童公益基金会,3352534700
425,山东省普觉公益基金会,6072428123
427,广东省一心公益基金会,2156685060
428,北京市永源公益基金会,3576859332
430,攀枝花市关心下一代基金会,5161575664
437,重庆市青年志愿服务基金会,3814475486
441,绵阳市关心下一代基金会,3881632317
443,北京永真公益基金会,3812002557
445,广东省丹姿慈善基金会,5777184838
450,广东省慧灵智障人士扶助基金会,6056191430
451,新疆生产建设兵团青年创业增收基金会,2760015703
458,深圳市同心慈善基金会,3587925833
459,北京彩虹公益基金会,3079579791
461,北京天使妈妈慈善基金会,2214124667
462,海南省残疾人基金会,3968028306
463,北京三一公益基金会,5261638683
464,广东省何享健慈善基金会,5059776328
465,南昌市青少年发展基金会,5039965779
470,上海诺亚公益基金会,6079359303
475,浙江馥莉慈善基金会,5659396855
479,深圳市石门坎教育公益基金会,5901053064
480,武汉善之源公益基金会,5231109082
483,四川喜马拉雅慈善基金会,5262144680
487,湖南践行国学公益基金会,5970923915
488,德阳市关心下一代基金会,5306526879
490,四川省索玛慈善基金会,1496987860
492,广东省同心圆慈善基金会,6064931926
493,北京阳光未来艺术教育基金会,5589683167
494,北京市光明慈善基金会,5427850035
496,上海至美公益基金会,5829392165
503,浙江湖畔大学创业研究基金会,5519115210
504,黑龙江省哈尔滨妇女儿童基金会,2451539437
506,上海觉群文教基金会,5517575255
508,宁波市善园公益基金会,5824654725
